society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
dlf regency park,1.91,sector 28,16609.0,2.0,2.0,2,11.0,New Property,flat,1278.0,0,0,0,0,0,2,98,"28.4728° N, 77.0865° E",28.4728,77.0865
ansal api esencia,5.46,sector 67,24170.0,4.0,5.0,3+,2.0,Relatively New,house,2259.0,1,0,1,1,0,1,103,"28.3859° N, 77.0608° E",28.3859,77.0608
chd avenue,0.98,sector 71,6049.0,3.0,3.0,3,0.0,Moderately Old,flat,1466.0,0,0,0,0,0,0,65,"28.4104° N, 77.0281° E",28.4104,77.0281
la vida by tata housing,2.35,sector 113,13352.0,3.0,4.0,3,3.0,Relatively New,flat,1930.0,0,0,0,0,0,0,174,"28.5287° N, 77.0233° E",28.5287,77.0233
emaar mgf marbella,11.0,sector 66,33951.0,5.0,6.0,3+,2.0,New Property,house,3240.0,1,1,1,1,0,1,153,"28.3925° N, 77.0541° E",28.3925,77.0541
krrish florence estate,1.65,sector 70,7765.0,3.0,4.0,3+,27.0,New Property,flat,1923.0,0,0,0,0,0,0,81,"28.3968° N, 77.0233° E",28.3968,77.0233
vipul lavanya,1.28,sector 81,7175.0,3.0,3.0,3,1.0,Moderately Old,flat,1982.0,0,0,0,0,0,1,49,"28.3867° N, 76.9485° E",28.3867,76.9485
shapoorji pallonji joyville gurugram,1.2,sector 102,14563.0,2.0,2.0,3,0.0,Relatively New,flat,1073.0,0,0,0,0,0,0,49,"28.4750° N, 76.9715° E",28.475,76.9715
puri diplomatic greens,3.9,sector 111,13000.0,4.0,5.0,3+,6.0,Relatively New,flat,2996.0,0,0,0,0,0,2,160,"28.5238° N, 77.0320° E",28.5238,77.032
signature global solera,0.29,sector 107,5930.0,2.0,2.0,2,3.0,Relatively New,flat,543.0,0,0,0,0,0,0,45,"28.5052° N, 76.9729° E",28.5052,76.9729
godrej oasis,2.65,sector 88a,16751.0,3.0,3.0,3+,10.0,New Property,flat,1582.0,0,0,0,0,0,0,110,"28.4347° N, 76.9557° E",28.4347,76.9557
corona optus,1.27,sector 37c,7204.0,3.0,3.0,3,2.0,Relatively New,flat,1581.0,0,0,0,0,0,0,49,"28.4515° N, 76.9882° E",28.4515,76.9882
tata primanti,3.19,sector 72,12152.0,4.0,5.0,3+,20.0,Relatively New,flat,2376.0,0,0,0,0,0,1,159,"28.4225° N, 77.0211° E",28.4225,77.0211
indiabulls enigma,3.79,sector 110,9896.0,5.0,5.0,3,4.0,Relatively New,flat,3466.0,0,0,0,0,0,0,125,"28.5145° N, 77.0197° E",28.5145,77.0197
independent,8.4,sector 28,34568.0,4.0,4.0,3+,2.0,Relatively New,house,2430.0,0,1,1,1,0,1,139,"28.4728° N, 77.0865° E",28.4728,77.0865
tulip violet,1.36,sector 69,8843.0,3.0,3.0,1,12.0,Relatively New,flat,1392.0,0,0,0,0,0,0,86,"28.3966° N, 77.0341° E",28.3966,77.0341
paras dews,1.05,sector 106,8537.0,3.0,4.0,3+,10.0,Relatively New,flat,1345.0,0,0,0,0,0,0,174,"28.5007° N, 77.0003° E",28.5007,77.0003
dlf new town heights,1.3,sector 90,6736.0,3.0,3.0,3+,10.0,Relatively New,flat,1929.0,0,0,0,0,0,1,129,"28.4085° N, 76.9369° E",28.4085,76.9369
rof ananda,0.38,sector 95,5901.0,3.0,2.0,1,2.0,Relatively New,flat,716.0,0,0,0,0,0,1,66,"28.4172° N, 76.9081° E",28.4172,76.9081
central park flower valley cerise floors,1.35,sector 33,11157.0,2.0,2.0,2,4.0,New Property,house,1210.0,1,0,0,0,0,2,107,"28.4420° N, 77.0207° E",28.442,77.0207
independent,3.0,sector 7,11494.0,7.0,7.0,0,3.0,Old Property,house,2610.0,0,0,0,0,0,0,0,"28.4644° N, 77.0143° E",28.4644,77.0143
shree vardhman victoria,1.1,sector 70,8462.0,2.0,2.0,2,8.0,Relatively New,flat,1444.0,0,0,0,0,0,0,101,"28.3968° N, 77.0233° E",28.3968,77.0233
m3m skywalk,1.52,sector 74,13345.0,2.0,2.0,3,6.0,Relatively New,flat,1250.0,0,0,0,0,0,0,174,"28.4158° N, 77.0118° E",28.4158,77.0118
unitech harmony,2.6,sector 50,9591.0,3.0,4.0,2,15.0,Relatively New,flat,2700.0,0,0,0,0,0,1,174,"28.4178° N, 77.0628° E",28.4178,77.0628
ardee city,2.25,sector 52,16071.0,3.0,3.0,3,4.0,New Property,house,1800.0,0,1,0,0,0,1,22,"28.4379° N, 77.0785° E",28.4379,77.0785
pyramid urban homes 2,0.5,sector 86,8319.0,2.0,2.0,1,2.0,Relatively New,flat,668.0,0,0,0,0,0,0,35,"28.3986° N, 76.9384° E",28.3986,76.9384
indiabulls enigma,4.25,sector 110,10954.0,5.0,5.0,3+,4.0,Relatively New,flat,3511.0,0,0,0,0,0,0,101,"28.5145° N, 77.0197° E",28.5145,77.0197
independent,7.3,sector 25,37726.0,3.0,9.0,2,3.0,Relatively New,house,5800.0,0,1,1,0,0,1,109,"28.4844° N, 77.0860° E",28.4844,77.086
raheja vedaanta,0.8,sector 108,4080.0,3.0,3.0,3,9.0,Relatively New,flat,1663.0,0,0,0,0,0,0,174,"28.5134° N, 76.9830° E",28.5134,76.983
independent,8.0,sector 57,29630.0,5.0,4.0,3,2.0,Relatively New,house,2700.0,1,1,0,1,0,0,21,"28.4232° N, 77.0752° E",28.4232,77.0752
signature global grand iva,0.5,sector 103,6250.0,2.0,2.0,2,10.0,Relatively New,flat,698.0,0,0,0,0,0,0,8,"28.4949° N, 76.9845° E",28.4949,76.9845
corona optus,1.25,sector 37c,8929.0,3.0,3.0,3,2.0,Relatively New,flat,1563.0,0,0,0,0,0,0,49,"28.4515° N, 76.9882° E",28.4515,76.9882
dlf the ultima,2.21,sector 81,10366.0,3.0,3.0,3+,3.0,Relatively New,flat,1881.0,0,0,0,0,0,2,149,"28.3867° N, 76.9485° E",28.3867,76.9485
microtek greenburg,1.65,sector 86,8707.0,3.0,4.0,3,8.0,Relatively New,flat,1715.0,0,0,0,0,0,0,124,"28.3986° N, 76.9384° E",28.3986,76.9384
independent,6.0,sector 2,20000.0,4.0,4.0,1,2.0,Relatively New,house,3000.0,0,0,0,0,0,0,0,"28.5095° N, 77.0320° E",28.5095,77.032
alpha corp gurgaonone,1.49,sector 84,7590.0,3.0,3.0,3,6.0,Relatively New,flat,1833.0,0,0,0,0,0,0,28,"28.3979° N, 76.9736° E",28.3979,76.9736
ats marigold,1.5,sector 89,8499.0,3.0,3.0,3,5.0,Under Construction,flat,1480.0,0,0,0,0,0,0,96,"28.4253° N, 76.9439° E",28.4253,76.9439
shree vardhman flora,0.65,sector 90,4815.0,2.0,2.0,3,6.0,Relatively New,flat,1222.0,0,0,0,0,0,0,165,"28.4085° N, 76.9369° E",28.4085,76.9369
krrish provence estate,5.5,gwal pahari,9483.0,4.0,5.0,3+,11.0,New Property,flat,5249.0,0,0,0,0,0,0,151,"28.4484° N, 77.0210° E",28.4484,77.021
paras dews,1.35,sector 106,8940.0,4.0,3.0,3,19.0,Old Property,flat,1678.0,0,0,0,0,0,0,112,"28.5007° N, 77.0003° E",28.5007,77.0003
shapoorji pallonji joyville gurugram,1.28,sector 102,10535.0,2.0,2.0,3,10.0,Relatively New,flat,1100.0,0,0,0,0,0,0,49,"28.4750° N, 76.9715° E",28.475,76.9715
emaar digihomes,2.15,sector 62,14257.0,2.0,2.0,3,31.0,Under Construction,flat,1676.0,0,0,0,0,0,0,101,"28.4139° N, 77.0886° E",28.4139,77.0886
vipul tatvam villa,8.5,sector 48,26235.0,4.0,4.0,2,2.0,Moderately Old,house,3240.0,0,1,1,1,0,0,88,"28.4177° N, 77.0359° E",28.4177,77.0359
umang winter hills,0.71,sector 77,5306.0,2.0,2.0,2,6.0,Relatively New,flat,1057.0,0,0,0,0,0,0,108,"28.3801° N, 76.9845° E",28.3801,76.9845
vatika city,2.65,sector 49,11773.0,3.0,4.0,3,11.0,Moderately Old,flat,2251.0,0,0,0,0,0,1,140,"28.4121° N, 77.0480° E",28.4121,77.048
tulip ivory,2.35,sector 70,9792.0,4.0,4.0,3+,8.0,Moderately Old,flat,2667.0,0,0,0,0,0,0,108,"28.3968° N, 77.0233° E",28.3968,77.0233
jacob pura,0.35,sector 12,9722.0,2.0,1.0,0,2.0,Old Property,house,360.0,0,0,0,0,0,0,0,"28.4723° N, 77.0320° E",28.4723,77.032
signature global synera,0.4,sector 81,6319.0,2.0,2.0,1,12.0,Relatively New,flat,586.0,0,0,0,0,0,1,23,"28.3867° N, 76.9485° E",28.3867,76.9485
signature global synera,0.45,sector 81,7525.0,2.0,2.0,2,6.0,Relatively New,flat,664.0,0,0,0,0,0,1,39,"28.3867° N, 76.9485° E",28.3867,76.9485
puri diplomatic greens,3.4,sector 111,11525.0,4.0,5.0,3+,14.0,Relatively New,flat,2670.0,0,0,0,0,0,1,94,"28.5238° N, 77.0320° E",28.5238,77.032
ss the leaf,2.15,sector 85,7646.0,4.0,5.0,3+,1.0,Relatively New,flat,2545.0,0,0,0,0,0,0,165,"28.4042° N, 76.9513° E",28.4042,76.9513
tulip violet,1.7,sector 69,8625.0,4.0,4.0,1,12.0,Relatively New,flat,1783.0,0,0,0,0,0,0,88,"28.3966° N, 77.0341° E",28.3966,77.0341
vatika gurgaon,1.05,sector 83,7000.0,3.0,3.0,3,3.0,Relatively New,flat,1618.0,0,0,0,0,0,0,79,"28.3986° N, 76.9647° E",28.3986,76.9647
m3m heights,2.8,sector 65,14997.0,3.0,3.0,3,20.0,Under Construction,flat,1867.0,0,0,0,0,0,0,91,"28.4030° N, 77.0690° E",28.403,77.069
emaar gurgaon greens,1.42,sector 102,8606.0,3.0,3.0,3,7.0,Relatively New,flat,1315.0,0,0,0,0,0,0,128,"28.4750° N, 76.9715° E",28.475,76.9715
tulip violet,1.4,sector 69,8917.0,3.0,3.0,1,12.0,Relatively New,flat,1419.0,0,0,0,0,0,0,86,"28.3966° N, 77.0341° E",28.3966,77.0341
vipul tatvam villa,7.69,sector 48,24069.0,4.0,5.0,3,2.0,Moderately Old,house,3195.0,1,1,1,1,0,1,110,"28.4177° N, 77.0359° E",28.4177,77.0359
signature global solera,0.36,sector 107,6581.0,2.0,2.0,2,8.0,Relatively New,flat,608.0,0,0,0,0,0,0,45,"28.5052° N, 76.9729° E",28.5052,76.9729
pareena coban residences,1.23,sector 99a,6159.0,3.0,5.0,3,5.0,Relatively New,flat,1807.0,0,0,0,0,0,0,99,"28.4561° N, 76.9542° E",28.4561,76.9542
emaar mgf emerald floors premier,2.8,sector 65,14177.0,4.0,4.0,3,2.0,Relatively New,flat,2194.0,0,0,0,0,0,1,108,"28.4030° N, 77.0690° E",28.403,77.069
signature global grand iva,0.3,sector 103,8287.0,1.0,2.0,2,5.0,New Property,flat,402.0,0,0,0,0,0,0,37,"28.4949° N, 76.9845° E",28.4949,76.9845
independent,10.0,sector 25,37037.0,5.0,6.0,3,3.0,Old Property,house,2700.0,0,1,1,0,0,1,64,"28.4844° N, 77.0860° E",28.4844,77.086
ss the leaf,1.11,sector 85,6852.0,2.0,2.0,3,8.0,Relatively New,flat,1630.0,0,0,0,0,0,0,174,"28.4042° N, 76.9513° E",28.4042,76.9513
shapoorji pallonji joyville gurugram,1.95,sector 102,13929.0,3.0,3.0,3,6.0,New Property,flat,1616.0,0,0,0,0,0,1,174,"28.4750° N, 76.9715° E",28.475,76.9715
emaar gurgaon greens,1.45,sector 102,8788.0,3.0,3.0,3,8.0,Relatively New,flat,1300.0,0,0,0,0,0,0,49,"28.4750° N, 76.9715° E",28.475,76.9715
central park flower valley,1.4,sector 33,21538.0,3.0,3.0,3,2.0,Under Construction,flat,588.0,0,0,0,0,0,0,54,"28.4420° N, 77.0207° E",28.442,77.0207
tulip violet,1.68,sector 69,10072.0,3.0,3.0,2,0.0,Relatively New,flat,1510.0,0,0,0,0,0,0,157,"28.3966° N, 77.0341° E",28.3966,77.0341
emaar imperial gardens,1.7,sector 102,8395.0,3.0,4.0,3+,8.0,Relatively New,flat,1750.0,0,0,0,0,0,1,174,"28.4750° N, 76.9715° E",28.475,76.9715
ss the leaf,1.22,sector 85,13319.0,2.0,2.0,3,16.0,Relatively New,flat,1300.0,0,0,0,0,0,0,81,"28.4042° N, 76.9513° E",28.4042,76.9513
m3m merlin,3.32,sector 67,14080.0,3.0,4.0,3,8.0,New Property,flat,2016.0,0,0,0,0,0,1,174,"28.3859° N, 77.0608° E",28.3859,77.0608
sbtl caladium,1.88,sector 109,6154.0,4.0,5.0,3,10.0,Relatively New,flat,2765.0,0,0,0,0,0,0,110,"28.5073° N, 77.0089° E",28.5073,77.0089
experion the heartsong,1.68,sector 108,8387.0,3.0,3.0,3+,4.0,Relatively New,flat,1338.29,0,0,0,0,0,1,86,"28.5134° N, 76.9830° E",28.5134,76.983
m3m skycity,3.0,sector 65,16411.0,3.0,3.0,3,17.0,Under Construction,flat,1828.0,0,0,0,0,0,0,99,"28.4030° N, 77.0690° E",28.403,77.069
ild grand,0.66,sector 37c,5038.0,2.0,2.0,3+,14.0,Relatively New,flat,1310.0,0,0,0,0,0,0,60,"28.4515° N, 76.9882° E",28.4515,76.9882
bptp mansions park prime,2.7,sector 66,9768.0,4.0,4.0,3,6.0,Relatively New,flat,2501.0,0,0,0,0,0,0,13,"28.3925° N, 77.0541° E",28.3925,77.0541
signature global synera,0.49,sector 81,6667.0,2.0,2.0,3,5.0,Relatively New,flat,700.0,0,0,0,0,0,0,117,"28.3867° N, 76.9485° E",28.3867,76.9485
ambience creacions,1.99,sector 22,14420.0,2.0,2.0,2,9.0,New Property,flat,1285.0,0,0,0,0,0,0,20,"28.5072° N, 77.0640° E",28.5072,77.064
rof ananda,0.36,sector 95,5660.0,2.0,2.0,2,10.0,New Property,flat,717.0,0,0,0,0,0,0,75,"28.4172° N, 76.9081° E",28.4172,76.9081
mapsko mount ville,1.28,sector 79,8556.0,3.0,3.0,3,16.0,Relatively New,flat,1265.0,0,0,0,0,0,1,128,"28.3624° N, 76.9787° E",28.3624,76.9787
experion windchants,2.6,sector 112,10651.0,2.0,2.0,3,8.0,Relatively New,flat,2441.0,0,0,0,0,0,0,168,"28.5189° N, 77.0183° E",28.5189,77.0183
unitech aspen greens,7.0,sector 50,32407.0,4.0,4.0,2,2.0,Old Property,house,2160.0,0,1,0,0,0,0,29,"28.4178° N, 77.0628° E",28.4178,77.0628
mapsko mount ville,1.65,sector 79,9091.0,3.0,3.0,0,12.0,Relatively New,flat,1815.0,0,0,0,0,0,0,0,"28.3624° N, 76.9787° E",28.3624,76.9787
signature global the millennia,0.6,sector 37d,9231.0,2.0,2.0,3,7.0,New Property,flat,625.0,0,0,0,0,0,0,35,"28.4478° N, 76.9703° E",28.4478,76.9703
shree vardhman victoria,1.67,sector 70,14384.0,3.0,5.0,3,5.0,Moderately Old,flat,1527.0,0,0,0,0,0,0,108,"28.3968° N, 77.0233° E",28.3968,77.0233
orchid petals,1.95,sector 49,9974.0,3.0,3.0,3,2.0,Old Property,flat,1633.0,0,0,0,0,0,1,90,"28.4121° N, 77.0480° E",28.4121,77.048
ss the leaf,1.99,sector 85,8660.0,3.0,4.0,3+,17.0,Relatively New,flat,2398.0,0,0,0,0,0,1,174,"28.4042° N, 76.9513° E",28.4042,76.9513
la vida by tata housing,1.5,sector 113,11755.0,2.0,2.0,2,13.0,New Property,flat,1418.0,0,0,0,0,0,0,71,"28.5287° N, 77.0233° E",28.5287,77.0233
the laburnum,11.0,sector 43,27160.0,5.0,6.0,3+,3.0,New Property,house,4050.0,0,1,0,1,0,1,160,"28.4629° N, 77.0772° E",28.4629,77.0772
shree vardhman flora,0.65,sector 90,4815.0,2.0,2.0,3,10.0,Moderately Old,flat,1222.0,0,0,0,0,0,1,83,"28.4085° N, 76.9369° E",28.4085,76.9369
m3m woodshire,1.4,sector 107,5930.0,3.0,4.0,3+,6.0,Relatively New,flat,2137.0,0,0,0,0,0,0,117,"28.5052° N, 76.9729° E",28.5052,76.9729
central park flower valley,1.79,sector 33,11251.0,3.0,3.0,3,3.0,Old Property,flat,1619.0,0,0,0,0,0,0,71,"28.4420° N, 77.0207° E",28.442,77.0207
ss the leaf,1.78,sector 85,7392.0,3.0,4.0,3+,6.0,New Property,flat,2179.0,0,0,0,0,0,0,113,"28.4042° N, 76.9513° E",28.4042,76.9513
tulip orange,1.1,sector 70,8148.0,3.0,2.0,2,5.0,Relatively New,flat,1350.0,0,0,0,0,0,0,0,"28.3968° N, 77.0233° E",28.3968,77.0233
dlf city phase 1,3.25,sector 26,3681.0,3.0,3.0,3,2.0,Old Property,house,8829.0,1,0,0,0,0,0,79,"28.4757° N, 77.1032° E",28.4757,77.1032
godrej nature plus,1.75,sector 33,8768.0,3.0,3.0,0,2.0,Under Construction,flat,1996.0,0,0,0,0,0,0,56,"28.4420° N, 77.0207° E",28.442,77.0207
la vida by tata housing,2.78,sector 113,10335.0,3.0,4.0,3+,5.0,Relatively New,flat,2350.0,0,0,0,0,0,0,174,"28.5287° N, 77.0233° E",28.5287,77.0233
tulip violet,1.51,sector 69,9569.0,3.0,3.0,2,0.0,Relatively New,flat,1325.0,0,0,0,0,0,2,165,"28.3966° N, 77.0341° E",28.3966,77.0341
chd avenue,1.16,sector 71,6655.0,3.0,3.0,3,5.0,Moderately Old,flat,1577.0,0,0,0,0,0,1,73,"28.4104° N, 77.0281° E",28.4104,77.0281
shree vardhman flora,0.96,sector 90,5120.0,3.0,4.0,3,3.0,New Property,flat,1697.0,0,0,0,0,0,0,106,"28.4085° N, 76.9369° E",28.4085,76.9369
orchid petals,1.9,sector 49,10526.0,3.0,3.0,3,9.0,Moderately Old,flat,2006.0,0,0,0,0,0,1,95,"28.4121° N, 77.0480° E",28.4121,77.048
orris aster court premier,1.45,sector 85,6840.0,3.0,4.0,2,3.0,New Property,flat,1616.0,0,0,0,0,0,0,16,"28.4042° N, 76.9513° E",28.4042,76.9513
independent,1.35,sector 105,3857.0,5.0,3.0,3,3.0,Moderately Old,house,3500.0,0,0,0,0,0,0,0,"28.4952° N, 77.0114° E",28.4952,77.0114
ats triumph,2.5,sector 104,7937.0,4.0,4.0,3+,14.0,New Property,flat,2851.0,0,0,0,0,0,0,21,"28.4788° N, 76.9960° E",28.4788,76.996
dlf city plots phase 2,10.5,sector 25,29022.0,4.0,4.0,2,2.0,Old Property,house,3618.0,0,1,0,1,0,1,91,"28.4844° N, 77.0860° E",28.4844,77.086
saan verdante,2.0,sector 95,10178.0,3.0,4.0,3+,5.0,New Property,flat,1964.0,0,0,0,0,0,0,49,"28.4172° N, 76.9081° E",28.4172,76.9081
signature global solera,0.49,sector 107,8221.0,2.0,2.0,1,8.0,Relatively New,flat,598.0,0,0,0,0,0,2,49,"28.5052° N, 76.9729° E",28.5052,76.9729
tulip purple,1.8,sector 69,9000.0,4.0,5.0,3+,4.0,Relatively New,flat,2200.0,0,0,0,0,0,0,165,"28.3966° N, 77.0341° E",28.3966,77.0341
godrej aria,1.7,sector 79,7427.0,3.0,4.0,3+,6.0,New Property,flat,1659.0,0,0,0,0,0,0,81,"28.3624° N, 76.9787° E",28.3624,76.9787
independent,3.55,sector 46,24500.0,5.0,4.0,3+,3.0,Moderately Old,house,1449.0,0,1,0,0,0,1,73,"28.4374° N, 77.0586° E",28.4374,77.0586
dlf the ultima,2.25,sector 81,10553.0,3.0,3.0,3+,15.0,Relatively New,flat,1929.0,0,0,0,0,0,2,165,"28.3867° N, 76.9485° E",28.3867,76.9485
independent,2.7,sector 23,18621.0,5.0,5.0,2,3.0,Old Property,house,1450.0,0,0,0,0,0,1,17,"28.5121° N, 77.0478° E",28.5121,77.0478
unitech sunbreeze,0.74,sector 69,5502.0,3.0,3.0,1,10.0,Under Construction,flat,1210.0,0,0,0,0,0,0,60,"28.3966° N, 77.0341° E",28.3966,77.0341
m3m sierra 68,1.08,sector 68,8675.0,2.0,2.0,3,1.0,Relatively New,flat,1130.0,0,0,0,0,0,1,149,"28.3853° N, 77.0484° E",28.3853,77.0484
umang monsoon breeze,0.8,sector 78,4837.0,3.0,2.0,2,7.0,Moderately Old,flat,1472.0,0,0,0,0,0,0,102,"28.3733° N, 76.9729° E",28.3733,76.9729
vatika the seven lamps,0.85,sector 82,5977.0,2.0,2.0,2,9.0,Relatively New,flat,1294.0,0,0,0,0,0,0,117,"28.3935° N, 76.9600° E",28.3935,76.96
unitech espace,11.29,sector 50,34846.0,5.0,5.0,3+,2.0,Moderately Old,house,3240.0,1,0,0,1,0,0,21,"28.4178° N, 77.0628° E",28.4178,77.0628
independent,1.45,sector 28,8002.0,3.0,2.0,1,1.0,Relatively New,house,1800.0,0,0,0,0,0,0,0,"28.4728° N, 77.0865° E",28.4728,77.0865
mapsko mount ville,1.4,sector 79,9396.0,3.0,3.0,3,2.0,New Property,flat,1656.0,0,0,0,0,0,1,112,"28.3624° N, 76.9787° E",28.3624,76.9787
bptp terra,1.78,sector 37d,8124.0,4.0,3.0,3,10.0,Relatively New,flat,1983.0,0,0,0,0,0,0,127,"28.4478° N, 76.9703° E",28.4478,76.9703
emaar mgf palm hills,1.5,sector 77,12744.0,3.0,3.0,3,4.0,Relatively New,flat,1310.0,0,0,0,0,0,1,97,"28.3801° N, 76.9845° E",28.3801,76.9845
supertech araville,0.83,sector 79,5425.0,2.0,2.0,3,5.0,New Property,flat,1700.0,0,0,0,0,0,2,49,"28.3624° N, 76.9787° E",28.3624,76.9787
sare crescent parc,0.5,sector 92,5000.0,2.0,2.0,2,2.0,Relatively New,flat,905.0,0,0,0,0,0,0,72,"28.4079° N, 76.9153° E",28.4079,76.9153
hero homes,1.2,sector 104,17544.0,2.0,2.0,2,22.0,Under Construction,flat,877.0,0,0,0,0,0,0,30,"28.4788° N, 76.9960° E",28.4788,76.996
hsiidc sidco shivalik apartments,0.48,manesar,3840.0,2.0,2.0,3,7.0,Moderately Old,flat,993.0,0,0,0,0,0,0,88,"28.3515° N, 76.9428° E",28.3515,76.9428
.,7.0,gwal pahari,10999.0,4.0,4.0,3+,6.0,Relatively New,flat,5430.0,0,0,0,0,0,0,52,"28.4484° N, 77.0210° E",28.4484,77.021
tata primanti,3.21,sector 72,16050.0,3.0,4.0,3+,15.0,Relatively New,flat,2140.0,0,0,0,0,0,1,174,"28.4225° N, 77.0211° E",28.4225,77.0211
suncity township,2.0,sector 54,3440.0,9.0,9.0,3,11.0,Relatively New,house,60.0,0,1,0,0,0,2,7,"28.4348° N, 77.1089° E",28.4348,77.1089
the close north,2.65,sector 50,10685.0,3.0,4.0,3+,6.0,Moderately Old,flat,2470.0,0,0,0,0,0,1,174,"28.4178° N, 77.0628° E",28.4178,77.0628
bestech park view grand spa,2.3,sector 81,8647.0,3.0,4.0,3+,7.0,Relatively New,flat,2280.0,0,0,0,0,0,1,49,"28.3867° N, 76.9485° E",28.3867,76.9485
la vida by tata housing,1.85,sector 113,11716.0,3.0,2.0,2,7.0,New Property,flat,1429.0,0,0,0,0,0,0,13,"28.5287° N, 77.0233° E",28.5287,77.0233
housing apna enclave,0.39,sector 4,4105.0,2.0,2.0,1,1.0,Relatively New,flat,950.0,0,0,0,0,0,0,0,"28.4738° N, 77.0107° E",28.4738,77.0107
godrej aria,1.0,sector 79,6653.0,2.0,2.0,2,4.0,Relatively New,flat,1300.0,0,0,0,0,0,0,49,"28.3624° N, 76.9787° E",28.3624,76.9787
greenopolis,0.65,sector 89,5196.0,2.0,2.0,2,15.0,Under Construction,flat,1390.0,0,0,0,0,0,0,37,"28.4253° N, 76.9439° E",28.4253,76.9439
emaar mgf the enclave,1.9,sector 66,10556.0,3.0,4.0,2,8.0,Relatively New,flat,1850.0,0,0,0,0,0,1,174,"28.3925° N, 77.0541° E",28.3925,77.0541
independent,1.1,sector 4,11111.0,3.0,4.0,1,2.0,Moderately Old,house,990.0,0,0,0,0,0,0,0,"28.4738° N, 77.0107° E",28.4738,77.0107
shapoorji pallonji joyville gurugram,2.12,sector 102,11447.0,3.0,3.0,3,9.0,New Property,flat,1571.0,0,0,0,0,0,0,109,"28.4750° N, 76.9715° E",28.475,76.9715
orris carnation residency,1.1,sector 85,6687.0,3.0,4.0,3,6.0,Moderately Old,flat,1467.0,0,0,0,0,0,2,65,"28.4042° N, 76.9513° E",28.4042,76.9513
sare crescent parc,0.92,sector 92,4855.0,4.0,5.0,3+,14.0,Moderately Old,flat,1895.0,0,0,0,0,0,1,131,"28.4079° N, 76.9153° E",28.4079,76.9153
independent,2.55,sector 2,16378.0,3.0,3.0,2,2.0,Old Property,house,1557.0,0,0,0,0,0,0,8,"28.5095° N, 77.0320° E",28.5095,77.032
smart world gems,1.25,sector 89,8784.0,3.0,3.0,2,1.0,Under Construction,house,1423.0,1,0,0,0,1,0,45,"28.4253° N, 76.9439° E",28.4253,76.9439
independent,1.15,sector 7,8519.0,5.0,3.0,2,2.0,Old Property,house,1350.0,0,0,0,1,0,0,15,"28.4644° N, 77.0143° E",28.4644,77.0143
dlf city plots,4.0,sector 26,4531.0,4.0,3.0,2,2.0,Relatively New,house,8829.0,0,0,0,0,0,1,0,"28.4757° N, 77.1032° E",28.4757,77.1032
spaze privy,3.1,sector 72,6693.0,4.0,5.0,3+,8.0,Moderately Old,flat,3374.0,0,0,0,0,0,0,136,"28.4225° N, 77.0211° E",28.4225,77.0211
umang monsoon breeze,1.2,sector 78,6494.0,3.0,3.0,2,8.0,Moderately Old,flat,2045.0,0,0,0,0,0,2,8,"28.3733° N, 76.9729° E",28.3733,76.9729
uppal southend,3.75,sector 49,25562.0,2.0,6.0,3+,3.0,Moderately Old,house,1467.0,1,0,0,0,0,1,26,"28.4121° N, 77.0480° E",28.4121,77.048
ss the leaf,2.1,sector 85,7468.0,4.0,4.0,3,7.0,Relatively New,flat,2600.0,0,0,0,0,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
signature global city 81,0.96,sector 81,9766.0,2.0,2.0,2,1.0,Under Construction,flat,1194.0,0,0,0,0,0,0,49,"28.3867° N, 76.9485° E",28.3867,76.9485
independent,4.3,sector 47,29312.0,3.0,4.0,2,2.0,Moderately Old,house,1467.0,0,0,0,0,1,0,0,"28.4276° N, 77.0492° E",28.4276,77.0492
siddhartha apartment,0.72,sector 95,3664.0,3.0,3.0,2,4.0,Relatively New,flat,1800.0,0,0,0,0,0,0,21,"28.4172° N, 76.9081° E",28.4172,76.9081
independent,2.9,sector 12,10741.0,7.0,7.0,3,2.0,Old Property,house,2700.0,0,0,0,0,0,0,7,"28.4723° N, 77.0320° E",28.4723,77.032
emaar gurgaon greens,1.3,sector 102,7879.0,3.0,3.0,3,7.0,Relatively New,flat,1388.0,0,0,0,0,0,0,93,"28.4750° N, 76.9715° E",28.475,76.9715
smart world gems,1.1,sector 89,9973.0,2.0,2.0,2,3.0,New Property,flat,1226.0,0,0,0,0,0,0,77,"28.4253° N, 76.9439° E",28.4253,76.9439
independent,18.25,sector 26,18250.0,7.0,9.0,3+,4.0,Relatively New,house,11111.0,1,1,1,1,0,1,77,"28.4757° N, 77.1032° E",28.4757,77.1032
tulip violet,3.1,sector 69,9823.0,4.0,6.0,3+,14.0,Relatively New,flat,2817.0,0,0,0,0,0,0,174,"28.3966° N, 77.0341° E",28.3966,77.0341
dlf the icon,6.0,sector 43,26087.0,4.0,4.0,3+,18.0,Old Property,flat,2556.0,0,0,0,0,0,1,150,"28.4629° N, 77.0772° E",28.4629,77.0772
la vida by tata housing,1.93,sector 113,12223.0,3.0,3.0,2,8.0,Under Construction,flat,1429.0,0,0,0,0,0,0,71,"28.5287° N, 77.0233° E",28.5287,77.0233
